time/h,Ecell/V,(Q-Qo)/mA.h/g
4.38923,0.80663,-43.7248
4.39756,0.80604,-43.8081
4.4059,0.805173,-43.8915
4.41423,0.804504,-43.9748
4.42256,0.803756,-44.0581
4.4309,0.802968,-44.1415
4.43923,0.802259,-44.2248
4.44756,0.801511,-44.3081
4.4559,0.800842,-44.3914
4.46423,0.800094,-44.4748
4.47256,0.799306,-44.5581
4.4809,0.798715,-44.6414
4.48923,0.797889,-44.7248
4.49756,0.79714,-44.8081
4.5059,0.796392,-44.8914
4.51423,0.795801,-44.9748
4.52256,0.795014,-45.0581
4.5309,0.794187,-45.1414
4.53923,0.793636,-45.2248
4.54756,0.792769,-45.3081
4.5559,0.792179,-45.3914
4.56423,0.791312,-45.4747
4.57256,0.790564,-45.5581
4.5809,0.789855,-45.6414
4.58923,0.789186,-45.7247
4.59756,0.788517,-45.8081
4.6059,0.787729,-45.8914
4.61423,0.786941,-45.9747
4.62256,0.786311,-46.0581
4.6309,0.785563,-46.1414
4.63923,0.784815,-46.2247
4.64756,0.784028,-46.3081
4.6559,0.783397,-46.3914
4.66423,0.782689,-46.4747
4.67256,0.781822,-46.5581
4.6809,0.781153,-46.6414
4.68923,0.780444,-46.7247
4.69756,0.779657,-46.808
4.7059,0.778987,-46.8914
4.71423,0.7782,-46.9747
4.72256,0.777491,-47.058
4.7309,0.776782,-47.1414
4.73923,0.776034,-47.2247
4.74756,0.775404,-47.308
4.7559,0.774616,-47.3914
4.76423,0.773789,-47.4747
4.77256,0.773159,-47.558
4.7809,0.772332,-47.6414
4.78923,0.771623,-47.7247
4.79756,0.770915,-47.808
4.8059,0.770127,-47.8913
4.81423,0.769418,-47.9747
4.82256,0.76871,-48.058
4.8309,0.767961,-48.1413
4.83923,0.767174,-48.2247
4.84756,0.766504,-48.308
4.8559,0.765756,-48.3913
4.86423,0.765047,-48.4747
4.87256,0.764339,-48.558
4.8809,0.763512,-48.6413
4.88923,0.762882,-48.7247
4.89756,0.762133,-48.808
4.9059,0.761385,-48.8913
4.91423,0.760677,-48.9746
4.92256,0.759889,-49.058
4.9309,0.759141,-49.1413
4.93923,0.758432,-49.2246
4.94756,0.757605,-49.308
4.9559,0.756896,-49.3913
4.96423,0.756187,-49.4746
4.97256,0.755597,-49.558
4.9809,0.754809,-49.6413
4.98923,0.754061,-49.7246
4.99756,0.753313,-49.808
5.0059,0.752486,-49.8913
5.01423,0.751935,-49.9746
5.02232,0.750911,-50.0555
5.03065,0.750399,-50.1389
5.03899,0.749769,-50.2222
5.04732,0.748863,-50.3055
5.05565,0.748194,-50.3888
5.06399,0.747485,-50.4722
5.07232,0.746697,-50.5555
5.08065,0.745949,-50.6388
5.08899,0.745162,-50.7222
5.09732,0.744571,-50.8055
5.10565,0.743783,-50.8888
5.11399,0.743075,-50.9722
5.12232,0.742326,-51.0555
5.13065,0.741618,-51.1388
5.13899,0.740791,-51.2222
5.14732,0.740003,-51.3055
5.15565,0.739255,-51.3888
5.16399,0.738586,-51.4721
5.17232,0.737759,-51.5555
5.18065,0.737207,-51.6388
5.18899,0.73638,-51.7221
5.19732,0.735711,-51.8055
5.20565,0.734923,-51.8888
5.21399,0.734175,-51.9721
5.22232,0.733466,-52.0555
5.23065,0.732718,-52.1388
5.23899,0.73197,-52.2221
5.24732,0.731222,-52.3055
5.25565,0.730474,-52.3888
5.26399,0.729804,-52.4721
5.27232,0.729017,-52.5554
5.28065,0.728347,-52.6388
5.28899,0.72756,-52.7221
5.29732,0.72689,-52.8054
5.30565,0.726103,-52.8888
5.31399,0.725355,-52.9721
5.32232,0.724725,-53.0554
5.33065,0.723976,-53.1388
5.33899,0.723149,-53.2221
5.34732,0.722401,-53.3054
5.35565,0.721693,-53.3888
5.36399,0.720984,-53.4721
5.37232,0.720196,-53.5554
5.38065,0.719527,-53.6388
5.38899,0.718779,-53.7221
5.39732,0.71803,-53.8054
5.40565,0.717243,-53.8887
5.41399,0.716534,-53.9721
5.42232,0.715786,-54.0554
5.43065,0.715116,-54.1387
5.43899,0.714368,-54.2221
5.44732,0.713581,-54.3054
5.45565,0.712872,-54.3887
5.46399,0.712124,-54.4721
5.47232,0.711336,-54.5554
5.48065,0.710667,-54.6387
5.48899,0.709997,-54.7221
5.49732,0.70921,-54.8054
5.50565,0.708462,-54.8887
5.51399,0.707713,-54.972
5.52232,0.707005,-55.0554
5.53065,0.706217,-55.1387
5.53899,0.705469,-55.222
5.54732,0.704878,-55.3054
5.55565,0.70413,-55.3887
5.56399,0.703342,-55.472
5.57232,0.702594,-55.5554
5.58065,0.701885,-55.6387
5.58899,0.701098,-55.722
5.59732,0.700428,-55.8054
5.60565,0.699641,-55.8887
5.61399,0.698972,-55.972
5.62232,0.698184,-56.0553
5.63065,0.697515,-56.1387
5.63899,0.696806,-56.222
5.64732,0.696097,-56.3053
5.65565,0.695231,-56.3887
5.66399,0.694679,-56.472
5.67232,0.693813,-56.5553
5.68065,0.693065,-56.6387
5.68899,0.692435,-56.722
5.69732,0.691568,-56.8053
5.70565,0.691017,-56.8887
5.71388,0.689993,-56.971
5.72222,0.689403,-57.0543
5.73055,0.688773,-57.1376
5.73888,0.688103,-57.221
5.74722,0.687276,-57.3043
5.75555,0.686371,-57.3876
5.76388,0.685819,-57.471
5.77222,0.685032,-57.5543
5.78055,0.684323,-57.6376
5.78888,0.683575,-57.721
5.79722,0.682984,-57.8043
5.80555,0.682236,-57.8876
5.81388,0.681409,-57.9709
5.82222,0.680543,-58.0543
5.83055,0.679991,-58.1376
5.83888,0.679322,-58.2209
5.84722,0.678534,-58.3043
5.85555,0.677826,-58.3876
5.86388,0.677117,-58.4709
5.87222,0.676329,-58.5543
5.88055,0.67566,-58.6376
5.88888,0.67499,-58.7209
5.89722,0.674203,-58.8043
5.90555,0.673612,-58.8876
5.91388,0.672825,-58.9709
5.92222,0.672037,-59.0543
5.93055,0.671407,-59.1376
5.93888,0.670659,-59.2209
5.94722,0.669871,-59.3042
5.95555,0.669163,-59.3876
5.96388,0.668336,-59.4709
5.97222,0.667666,-59.5542
5.98055,0.666997,-59.6376
5.98888,0.666367,-59.7209
5.99722,0.665579,-59.8042
6.00555,0.66487,-59.8876
6.01388,0.664122,-59.9709
6.02222,0.663413,-60.0542
6.03055,0.662665,-60.1376
6.03888,0.661996,-60.2209
6.04722,0.661326,-60.3042
6.05555,0.660618,-60.3875
6.06388,0.65983,-60.4709
6.07222,0.659161,-60.5542
6.08055,0.658373,-60.6375
6.08888,0.657704,-60.7209
